pid,abstract_no,coauthors,abstract
1125,INS4-1026,,"Polymer-based solid electrolytes offer a promising route to safe, flexible energy-storage devices, but their performance is often limited by sluggish ion transport and unstable electrode interfaces. The polymer-in-salt (PiS) regime, in which the salt content exceeds that of the host polymer, provides a route to enhanced ionic conduction, yet the relationship between salt-rich domain organization and transport behavior is still not fully understood. Here we investigate a polymer-in-salt electrolyte in which excess salt phase-separates into a continuous, ion-rich network within a fluoropolymer host. Spectroscopic and molecular-dynamics analyses reveal how the self-assembled salt-rich domains govern ion coordination and transport, and how electrostatic interactions shape the organization of these domains. We further examine how this microstructure influences the electrode–electrolyte interface during operation. The resulting electrolyte exhibits favorable ion transport and stable interfacial behavior in condensed-phase electrodes over prolonged cycling. This work highlights self-assembled salt-rich domains in polymer-in-salt matrices as a versatile platform for designing multifunctional soft materials with tunable interfacial and transport properties."
263,INS4-0181,Hyeonjin Kim (AIST),"In this talk, we highlight recent advances in gel-based biomimetic coatings that exhibit exceptional dynamic surface functionalities. As a first example, we present organogel-based transparent coatings, termed Self-Lubricating Gels (SLUG), inspired by the remarkable anti-adhesive and antifouling properties of slug integuments¹⁻⁴. SLUG are typically fabricated via platinum-catalyzed crosslinking of PDMS precursors in the presence of an organic guest liquid, such as silicone oil. When the affinity between the guest liquid and the PDMS network falls below a critical threshold, the liquid gradually migrates toward the PDMS surface. By exploiting this syneresis-driven liquid secretion phenomenon, we have succeeded in achieving various new surface functionalities, such as self-healing superhydrophobicity and highly effective anti-icing/-snow properties. As a second example, we introduce hydrogel-based transparent coatings that derive multiple functionalities from their inherent superhydrophilicity. These coatings can be readily prepared from nanoscale clay particles, polyvinylpyrrolidone, and aqueous amino-silane precursors⁵⁻⁷. Upon exposure to high humid conditions, surface scratches with widths of up to 30 μm are completely repaired within one hour. Furthermore, the coatings exhibit a broad spectrum of advanced functionalities, including long-lasting antifogging performance, underwater superoleophobicity, and antimicrobial activity. Our gel-based coatings represent a promising platform for the development of next-generation biomimetic coatings. Acknowledgement : This study was partially supported by “Carbon Neutral Technology Research and Development Program” (Ministry of the Environment, Japan). References : 1) J. Mater. Chem. A , 3, 12626 (2015), 2) Langmuir , 33, 9972 (2017), 3) Adv. Mater. Interfaces , 6, 1801358 (2019), 4) Langmuir , 38, 11362 (2022), 5) ACS Appl. Mater. Interfaces , 8, 4318 (2016) , 6) Langmuir , 36, 7439 (2020), 7) Langmuir , 38, 9874 (2022)."
1454,INS4-1322,,"Microcapsules are widely used for encapsulating and delivering active materials, and imparting stimuli-responsiveness makes them especially effective for targeted delivery. Mechanically Activated Microcapsules (MAMCs) can release cargo under dynamic uniaxial loading; however, these are liquid-filled, which renders them largely insensitive to non-deviatoric stress. To overcome this limitation, we develop Gas-bubble Encapsulating Microcapsules (GEMs), a class of polymeric carriers that incorporate internal gas bubbles to introduce compressibility and enable pressure-triggered release. We precisely control the key structural features of GEMs using double emulsions generated via glass capillary microfluidics, followed by osmotic pressure–induced cavitation. By systematically subjecting GEMs to a range of hydrostatic pressures, we establish mechanistic relationships between capsule structure, rupture behavior, and cargo release kinetics. These results define fundamental design principles for engineering GEMs with programmable pressure-release thresholds. This platform is particularly suited for biomedical applications in which pressure-driven stimuli underlie pathology, such as traumatic brain injury, and more broadly demonstrates how structural design can translate stimuli-responsive polymer mechanics into functional delivery technologies."
483,INS4-0399,,"Aqueous two-phase systems (ATPSs) provide a unique platform for constructing structured fully aqueous systems owing to their biocompatibility and compositional versatility. However, the poor stability of water–water interfaces has limited the development of structured all-aqueous materials. Here, we establish a framework in which control of particle behavior at water–water interfaces enables the fabrication of functional all-aqueous gels with controlled architectures. We identify depletion-induced aggregation of colloidal particles at water–water interfaces as the primary origin of interfacial instability in conventional water-in-water (W/W) emulsions. By suppressing this aggregation, stable particle adsorption is achieved, enabling the formation of stable W/W emulsions and water-in-water high internal phase emulsions (W/W HIPEs) with highly connected aqueous domains. These stabilized structures serve as versatile templates for all-aqueous gel fabrication. Structured W/W emulsions can be converted into all-aqueous gels through photopolymerization while preserving the emulsion-derived architecture. The resulting gels exhibit tunable connectivity, transport pathways, and mechanical properties through control of interfacial interactions, phase morphology, and polymerization strategy."
1104,INS4-1006,,"Processing hard ceramic materials into complex three-dimensional architectures generally requires high-temperature sintering, prolonged shaping, or low-throughput additive manufacturing. Here, we present a soft-processing strategy based on highly viscoelastic hexagonal boron nitride (h-BN) doughs that enables rapid, scalable fabrication of complex functional ceramic modules under ambient conditions. The doughs are formulated by combining h-BN platelets, bimodally sized Al2O3 particles, a small amount of polymeric binder, and a percolated p-aramid fiber network. Bimodal particle packing increases the maximum ceramic loading, while the physically interlocked fiber network markedly enhances viscoelasticity, structural recovery, and shape retention with minimal binder content. As a result, the doughs exhibit pronounced deformability under applied stress and solid-like stability after relaxation, allowing precise cold stamping of complex three-dimensional geometries within seconds. The resulting structures show improved dimensional accuracy, mechanical durability, fatigue resistance, and thermal stability over a wide temperature range. They also exhibit high thermal conductivity in both in-plane and through-plane directions and can function as conformal heat-dissipating blocks or predesigned thermally conductive frameworks embedded in polymer matrices. This work demonstrates how colloidal packing and fiber-network assembly can transform hard ceramic particles into processable soft matter, providing a versatile route to large-area, structurally complex, and thermally functional ceramic modules."
809,INS4-0720,,"The assembly of nanoscale building blocks into complex nanostructures with controlled structural anisotropy offers intriguing opportunities for active materials. Here, we present strategies to create such nanostructures capable of dynamic structural and functional transformations. First, we developed magnetically controllable plasmonic nanoparticles composed of anisotropic gold cores encapsulated within superparamagnetic iron oxide shells, enabling rapid and reversible particle alignment under external magnetic fields. Linearly aligned assemblies exhibit strong plasmon-mediated birefringence with polarization-dependent transmission colors, while helical magnetic fields induce chiral superstructures that display pronounced circular dichroism, demonstrating real-time magnetic modulation of light–matter interactions. Second, we combine bottom-up DNA-directed self-assembly with top-down photothermal patterning to fabricate free-standing nanoparticle films with both vertical and lateral heterogeneity. The resulting DNA-linked, photopatterned films exhibit complex morphing behaviors governed by both the spatial patterns inscribed in the film and the molecular information encoded in DNA. Furthermore, incorporating superparamagnetic nanoparticles enables remote magnetic control over motion, underscoring the versatility of this approach for dynamic, active materials."
1692,INS4-1553,,"Additives such as metal films or absorbing dyes are added to many plastic packaging materials to block short-wavelength light, which is damaging to certain foods and pharmaceuticals. Although effective at blocking light, these additives make recycling difficult and contaminate polymer waste streams. We have developed a different approach to making light-blocking polymer films that relies on scattering light instead of absorbing it. We make these materials by incorporating a colloidal template into a polymer film, then selectively removing the template. By controlling the size and structure of the colloidal template, we can make polymer films that selectively scatter short-wavlength light while remaining transparent at longer wavelenghts. Because the colloidal template is completely removed, these light-blocking films contain only polymer and are therefore recyclable. I will discuss the physical principles underlying the fabrication and properties of these materials."
395,INS4-0311,,"Nanoparticles of conjugated polymers dispersed in aqueous solution play a significant role as photothermal, photodynamic materials in cancer treatment, photocatalytic materials for carbon dioxide conversion and hydrogen production in renewable energy generation, and materials for waste decomposition and air purification through reactive oxygen species in environmental remediation. The efficiency in each application area is determined by the ability of conductive polymers to effectively transfer charge to the exterior of the particles after absorbing light through the charge transfer pathway. This transfer efficiency is directly influenced by the assembly structure of the conjugated polymers within the particles. We present research findings on how the aggregation state of two types of conjugated polymer materials, characterized as electron donors and electron acceptors, assembled within a single nanoparticle influence on their ability to transfer charge externally after light absorption. Specifically, it demonstrates that when the donor-type conjugated polymer and the acceptor-type conjugated polymer are intersected in a diamond shape, the charge transfer efficiency to the outside significantly increases compared to when they are stacked in parallel."
1110,INS4-1012,,"Long-acting local delivery of small-molecule drugs faces a trade-off: reducing hydrogel mesh size to restrict rapid diffusion drastically increases viscosity and injection force. To overcome this, we introduce INJECT, a platform based on the hierarchical jamming of dense PEG nanogels. This system decouples molecular confinement within individual nanogels from macroscopic flow. At high packing densities, nanogel deformation eliminates interstitial voids that would otherwise allow rapid drug diffusion. To preserve injectability, a minority of ultrasoft nanogels is integrated to act as defects, promoting localized yielding and drastically reducing injection force under shear. This strategy enables injectable hydrogels with molecular-scale confinement for sustained small-molecule retention."
1082,INS4-0984,,"The 3D assembly of polymer-grafted nanoparticles (PGNPs) offers a versatile platform for constructing ordered suprastructures whose symmetry and morphology are governed by polymer corona interactions and emulsion confinement. In this study, we investigate two complementary strategies to control the assembly behavior of polystyrene-grafted Au nanoparticles (Au@PS NPs). First, Au NPs bearing hybrid PS/P4VP polymer ligands are examined to understand how chemical heterogeneity within the grafted corona influences interparticle interactions, surfactant-mediated interfacial behavior, and crystallization pathways under emulsion confinement. By tuning the PS/P4VP composition, the balance between corona miscibility, particle packing, and confinement-driven ordering can be modulated, leading to changes in supraparticle morphology and internal structure. Second, PS homopolymer is blended with Au@PS NPs as a physical additive to alter the local polymer environment surrounding the grafted NPs. The added homopolymer can modify effective corona softness, brush overlap, and interparticle spacing, thereby providing a simple route to regulate supracrystal formation without changing the covalently grafted ligand structure. Together, these studies demonstrate that both hybrid polymer ligands and free polymer additives serve as effective molecular handles for programming the emulsion assembly of PGNPs into tunable 3D suprastructures."
792,INS4-0704,,"The rational synthesis of one-dimensional (1D) lead-free perovskite nanostructures remains challenging due to complex precursor chemistry that defies classical crystal growth models. Here, we establish and experimentally validate a Complexation-Mediated Diffusion-Limited Growth (CMDLG) framework that integrates coordination chemistry with mass transport kinetics to direct the growth of Cs3Cu2I5 nanowires (NWs). This framework transforms precursor complexation from a synthetic hurdle into a powerful tool for directing anisotropic growth. By engineering the solvent environment to stabilize bulky iodocuprate complexes, we restrict mass transport and introduce a kinetic barrier, complex dissociation, at the growth front, driving the system into a diffusion-limited regime. This enables tunable synthesis of faceted microwires in polar solvents and ultralong, uniform NWs (aspect ratio >10 3 ) in low-polarity 2-pentanone. In situ optical microscopy captures complex-rich zones along NW sidewalls and depletion zones at growing tips, providing direct evidence for CMDLG. The resulting single-crystalline Cs 3 Cu 2 I 5 NWs exhibit excellent structural and optical quality, forming lyotropic liquid crystals after surface passivation and self-assembly. Shear-aligned, photopolymerized NW-polymer composite films show strong perpendicular polarized emission (P = 0.31) and enhanced chemical stability. The CMDLG framework provides a unified paradigm for understanding and predicting anisotropic growth in complex perovskite and related inorganic systems."
1148,KES4-1049,,"Human-interactive technologies play a crucial role in intelligent IoT, bioelectronics, and emerging physical AI regimes. Sensory neuromorphic displays (SNDs) integrate sensory processing, computation, memory, and visualization into a unified system, addressing the key limitations of traditional displays such as limited adaptability, high power consumption, and lack of contextual awareness. By leveraging neuromorphic computing principles and advanced device architectures, these displays enable real-time, adaptive responses to environmental stimuli, enhancing energy efficiency and interactivity. The development of innovative one-integrated platforms with optimized architectures where all the functional components are converged is essential to achieve highly efficient and fast information management. The presentation introduces a light-emitting tactile sensory neuromorphic display for real-time monitoring of finger rehabilitation movements. The core structure is based on a polymer electrochemical transistor (OECT) with an elastomeric tactile receptor and a molecularly engineered electrochemiluminescent ion gel as the light-emitting layer. The approach presents a highly interactive, low-power solution for personalized rehabilitation monitoring. The SND platform also detects, memorizes, and visualizes magnetic field with an elastomeric gate modified with ferromagnetic fillers, demonstrating its feasibility and versatility for compact, energy-efficient wearable and physical AI robotic applications."
1447,INS4-1315,,"Emulsions, in which one liquid is dispersed within another immiscible liquid, are fundamental to a wide range of natural phenomena and technological applications. Because their physical properties critically depend on droplet size, generating droplets with predictable and precisely controlled dimensions has long been a central objective in soft matter science. Classical theory, however, dictates that submicron emulsions are intrinsically metastable, thereby precluding thermodynamic control over their formation. Here, we demonstrate that bottlebrush block copolymer (BBCP) surfactants enable the spontaneous formation of stable, monodisperse water-in-oil emulsions with programmable diameters in the submicron range. We find that the rigid BBCP surfactants can generate substantial solvation energy upon interfacial self-assembly, exceeding the increase of interfacial energy. Accordingly, we propose a revised thermodynamic model by including a surfactant-associated free-energy term. Based on the model, a new theory of spontaneous emulsification is proposed to clearly explain the phenomenon. Moreover, the rigid conformation of the bottlebrush macromolecules balances interfacial tension with intermolecular repulsion, forming an equilibrium interfacial curvature. Consequently, droplet diameter can be quantitatively programmed simply by varying the polymer architecture. This finding establishes emulsions as a previously unrecognized class of equilibrium soft-matter systems, which are highly desirable in multidisciplinary applications."
1336,INS4-1223,,"Recent advances in artificial intelligence have significantly improved the ability to analyze and replicate physical security tags, creating an urgent need for security platforms that remain robust against data-driven attacks. Here, we present a magnetoplasmonic platform that combines deterministic plasmonic encoding with fundamentally non-invertible decoding. Magnetically responsive plasmonic nanoparticles are aligned by programmed three-dimensional magnetic fields and permanently fixed through photopolymerization, converting magnetic-field information into polarization-dependent plasmonic color patterns with high reproducibility. The information capacity is further expanded by spatially multiplexing multiple magnetic-field configurations within a single pixelated plasmonic tag. This magnetoplasmonic keychain integrates magnetic configurations with indexed spatial assignments, generating a physical key space exceeding O(44) while preserving straightforward optical readout when the complete key is available. Unlike conventional optical security tags, the proposed platform is intentionally designed so that the inverse mapping from optical patterns to magnetic configurations becomes ill-posed once the spatial key is removed. Under these conditions, different magnetic configurations produce indistinguishable optical observations, preventing unique reconstruction of the encoded information. Consequently, supervised deep-learning models fail to decode the security tags beyond random guessing, whereas accurate reconstruction is immediately achieved when the correct keychain is provided. This work introduces a physically enforced security framework in which information protection originates from the non-invertibility of the underlying physical process rather than computational complexity. The proposed strategy establishes a scalable route toward AI-resistant physical cryptography for next-generation authentication, anti-counterfeiting, and secure information storage."
1184,INS4-1073,,"Circularly polarized luminescence (CPL) materials have attracted significant attention for next-generation photonic technologies, including three-dimensional displays, optical communication, information encryption, and anti-counterfeiting. However, simultaneously achieving efficient, stable, and full-color CPL emission, particularly in the red spectral region, remains a longstanding challenge due to weak chiral transfer, structural instability, and fluorescence quenching. Here, we report a star block copolymer-enabled chiral supramolecular co-assembly strategy that enables highly efficient and stable full-color CPL across the entire visible spectrum. The star-shaped block copolymer serves as a robust supramolecular scaffold that promotes cooperative molecular assembly while effectively transferring and amplifying chirality to achiral luminophores. Through precise control of the co-assembly process, blue, green, and red emitters are incorporated into well-defined chiral nanostructures exhibiting strong CPL activity with excellent optical performance. Notably, the assembled structures maintain their morphology, chirality, and emission properties for more than 100 days under ambient conditions, demonstrating exceptional long-term stability compared with conventional supramolecular systems. The platform also provides broad compositional versatility, allowing diverse luminophores to be integrated without compromising chiroptical properties. This universal supramolecular design overcomes key limitations of existing CPL materials by simultaneously achieving efficient chiral induction, full-color emission, and outstanding structural robustness. Our strategy establishes a general framework for constructing durable chiroptical materials and opens new opportunities for advanced photonic devices, secure information technologies, and next-generation optoelectronic applications."
140,INS4-0059,,"Azopolymers provide a versatile platform for converting light inputs into programmable changes in molecular alignment, mesoscale structure, and macroscopic function. In this talk, I will present two complementary azopolymer systems developed in our group for optical information engineering and dynamic material reconfiguration. In the first system, linearly polarized light is used to induce spatially defined molecular alignment in azopolymer films, generating anisotropic birefringent domains that can encode hidden patterns and polarization-dependent optical responses. This strategy enables dual-encrypted anti-counterfeiting and Moiré animation-based decryption, while also allowing direction-encoded vectorial logic through the coupling of photoalignment and mechanical deformation. In the second system, we exploit photo-fluidization and photo-induced solid-to-liquid transitions in azopolymer-based materials to realize reconfigurable nano/microstructures, erasable and rewritable nanoarrays, and photo-healable fibrous materials, including stretchable fibers prepared from upcycled TPEE/azopolymer blends. Together, these studies show how azopolymer chemistry can bridge molecular motion, structural anisotropy, and functional output across multiple length scales. This integrated framework not only expands the fundamental design principles of light-responsive polymer systems, but also opens opportunities for advanced anti-counterfeiting, optical information processing, healable materials, and sustainable smart polymer applications."
731,INS4-1249,,"Polymer nanocomposites exhibit complex behaviors arising from filler–polymer interactions, nanoparticle dispersion, and interfacial dynamics across multiple length and time scales. In particular, interfacial adsorption, particle-network formation, and processing-induced nonequilibrium states play critical roles in determining the rheological, mechanical, and transport properties of these materials. However, establishing quantitative relationships among interfacial structure, dynamics, and macroscopic properties remains a significant challenge. Our research aims to uncover the fundamental principles that connect filler–polymer interactions, nanoparticle organization, and material dynamics in polymer nanocomposites. By combining advanced scattering techniques, dielectric spectroscopy, and rheological measurements, we investigate equilibrium and nonequilibrium structures, relaxation dynamics, and dynamic heterogeneity from the molecular scale to mesoscale particle networks. Through these studies, we seek to establish a unified framework linking interfacial interactions, nonequilibrium dynamics, and macroscopic properties, enabling the rational design of next-generation polymer nanocomposites."
1523,INS4-1388,,"Phase transitions dictate how materials acquire structure and function, yet the microscopic origins of amorphous stability remain challenging to resolve in atomic systems. In this talk, I present colloidal systems as particle-resolved experimental platforms that enable direct real-space imaging of phase transitions together with quantitative extraction of structural, dynamic, and mechanical descriptors. Using binary colloidal alloys inspired by Cu-Zr metallic glasses, we investigate how local geometric frustration governs amorphous formation and mechanical stability. Voronoi-based topological analysis and motif regularity mapping reveal that glass-forming compositions preserve local ordering motifs while suppressing the propagation of long-range order. We further show that engineered particle non-uniformity alone stabilizes amorphous structures under near-equilibrium assembly conditions by generating persistent topological defects that arrest crystallization. These findings establish particle-resolved colloidal systems as powerful model platforms for uncovering the structural determinants of amorphous stability. By converting complex materials formation into physically interpretable datasets, this approach provides a foundation for physics- informed AI and the reverse engineering of complex materials."
1700,INS4-1561,,"Autonomous droplet oscillations are intriguing and provide a strong inspiration for the development of active soft matter. However, they are often limited by their reliance on external gradients and slow transport. Here, we demonstrate a propulsion mechanism driven by confined interfacial reactions: the hydrogen microbubble elevator. We show that hydrogen evolution within a liquid organic hydrogen carrier (LOHC) droplet and the resulting bubble pinch off modulate the droplet’s effective density, inducing periodic rising and sinking cycles in a stratified fluid. These droplets reach peak velocities of up to 25 mm/s over 2.5 cm trajectories - three orders of magnitude faster than typical Marangoni-driven bouncing - and sustain robust oscillatory motion for up to 25 minutes. The oscillation period and amplitude are programmable through the reaction kinetics, with motion persisting until the bubble-to-droplet size ratio exceeds a critical threshold. With a force balance model, we can quantitatively explain the experimental results and the interplay between gas evolution rates and hydrodynamic forces."
1698,KES5-1559,,"The complex charge transport physics of conjugated polymers has been studied intensively since the Nobel Prize winning discovery of the electrical conduction in doped polyacetylene by Heeger, MacDiarmid and Shirakawa in 1977. At low charge densities < 10 18 -10 19 cm -3 , that are relevant for light-emitting diodes, solar cells or field-effect transistors, the charge transport physics of conjugated polymers is governed by static energetic disorder caused by structural heterogeneity and dynamic disorder due to molecular vibrations. However, organic electrochemical transistors (OECTs) and thermoelectric converters are examples of organic devices that operate at much higher charge carrier concentrations on the order of 10 20 -10 21 cm 3 approaching the density of molecular units. Understanding the charge transport in this regime, where the repulsive Coulombic electron-electron interactions and the attractive interactions between the mobile charge carriers and the charge-balancing counterions need to be considered, poses new challenges. In this presentation we will provide an overview over the current understanding of the key factors that govern charge transport in this ultrahigh carrier density regime and give examples of how better fundamental understanding of the relevant transport physics can lead to significant enhancements in the charge transport and thermoelectric properties of these materials."
448,INS5-0364,,"Processing multimodal stimuli through centralized computation causes severe bottlenecks in robotics. To overcome this, we propose materials-encoded somatosensation, in which the material itself acts as a processor. By engineering magnetic field-programmed physical anisotropy in multiscale polymer composites, we embed artificial peripheral nerves directly into the material and achieve highly selective sensing and deterministic motor control without extensive computational overhead. First, we demonstrate printable proximity sensors based on a magnetic microflake-polymer composite paste, in which the engineered magnetic anisotropy of the microflakes induces magnetoresistance that transduces fields into selective electrical signals. This non-contact proximity sensing penetrates physical obstacles and supports robust on-skin gesture recognition and touchless human-machine interfaces. Next, we build a closed-loop system that integrates magnetic origami actuators with compliant magnetic sensors, where real-time feedback guides shape-morphing actuation and translates stimuli into autonomous, reconfigurable motion at the hardware level. Finally, we realize materials-encoded somatosensation in a monolithic magneto-piezoelectric polymer composite, whose field-programmed spatial anisotropy of piezoelectric nanofillers autonomously decouples vector-resolved force modalities. Ultimately, programmed physical anisotropy enables these polymer composites to process multimodal stimuli and direct motion. This approach establishes a transformative materials platform for next-generation neuromorphic embedded systems."
1232,KES5-1121,,"There is increasing interest in harnessing sunlight to drive the synthesis of molecular fuels and chemicals, including in particular water photolysis to yield molecular oxygen and hydrogen. Whilst most research to date has focused on inorganic photoelectrodes and photocatalysts, there is now increasing interest in the use of organic semiconductors for sunlight to fuel applications. There has been substantial progress in recent years in the development of both photoelectrodes and photocatalysts based on organic semiconductors, motivated in particular by the energetic, spectral and morphological tunability of these materials. I will start my talk by introducing some of the recent progress in the use of organic semiconductors for solar to fuel applications. I will discuss the charge carrier lifetime challenge for solar to fuel applications, highlighting how this has parallels, but also differences, with organic solar cells and inorganic photocatalysts.   I will then go on to discuss some of our recent studies employing transient optical spectroscopies measuring charge carrier dynamics in organic photocatalysts and how these impact upon the efficiency of solar driven fuel synthesis, covering a range of organic polymer and small molecule materials for both water and carbon dioxide reduction."
977,KES5-0879,,"Photovoltaic technology utilizing organic or perovskite materials has demonstrated immense potential. In particular, the versatility of molecular design and bandgap tunability has driven tremendous advances in organic solar cells (OSCs). Given that organic and perovskite materials share compatible processing technologies and device architectures, they serve as attractive partners for multijunction configurations. Recently, significant research has focused on boosting the efficiency of OSCs by synergistically integrating organic and perovskite materials with complementary bandgaps into a tandem structure. However, a critical bottleneck in this field remains the scalability of high-performance, small-area devices into large-area modules. Herein, we report the development of large-area organic PV modules fabricated via a printing technique, alongside further performance enhancements achieved by pairing them with a wide-bandgap perovskite in a tandem architecture. The large-area organic PV module exhibits an efficiency close to 17%; remarkably, the corresponding tandem module achieves an efficiency approaching 20% over a 16 cm² active area. Finally, we elucidate the pivotal role of organic materials in realizing high-performance organic and perovskite-organic tandem solar cells and demonstrate their viability in large-area module applications."
1372,KES5-1244,,"The precise control of photon spin states, known as circular polarization (CP), is emerging as a cornerstone for the next generation optoelectronics. Chiral organic materials and chiral perovskites have garnered significant attention due to their unique ability to directly emit or detect circularly polarized light (CPL) without the need for bulky external filters. I will present synthesis of chiral organic semiconductors, fabrication of supramolecular semiconducting materials, structure-property relationships, and their applications in advanced optoelectronic sensors and CPL emitters. In addition, a simple yet powerful method to fabricate chiroptical flexible layers via supramolecular helical ordering of conjugated polymer chains will be introduced. These findings provide guidelines for enhancing chiroptical properties using multiscale chirality and rational molecular design of organic semiconductors toward high-performance chiral optoelectronics. In addition, methodologies for boosting chiroptical activities of chiral perovskites will also be presented. These results demonstrate an effective strategy to realize on-chip detection of the spin degree of freedom of photons necessary for encoded quantum information processing and high-resolution polarization imaging, in addition to high-efficiency 3D displays."
718,INS5-0632,,"Organic semiconductor photocatalysts have attracted increasing attention for solar hydrogen production because their optoelectronic properties can be readily tuned through molecular design. Despite substantial progress in material development, the factors that determine photocatalytic activity are often difficult to identify because light absorption, exciton dissociation, charge transport, and catalytic reactions are closely interconnected. In this presentation, I will discuss how molecular structure and nanoscale morphology influence charge-carrier generation and survival in organic photocatalysts. Through a series of studies involving molecular design, crystallinity control, donor–acceptor engineering, and nanoparticle morphology optimization, we examined the relationship between material structure, excited-state dynamics, and photocatalytic hydrogen evolution. Time-resolved spectroscopic analyses reveal that modifications that appear structurally distinct often affect a common parameter: the lifetime of photogenerated charge carriers. The results suggest that the ability to generate and preserve long-lived charge carriers is a key factor governing photocatalytic performance. These findings provide practical guidelines for the design of organic photocatalysts and offer a broader perspective on how energy and charge flow can be controlled to improve solar-to-hydrogen conversion."
1476,KES5-1344,,"Light-emitting diodes (LED) with different emission spectra are widely used in our daily life for a variety of applications. However, due to fundamental restrictions of light-emitting materials, the development of near-infrared LEDs (NIR-LEDs) is still modest. Recently, solution-processed tin-halide perovskites (THPs) have emerged as one of the most promising light-emitting materials for NIR-LED applications. Here, first, how the defects chemistry of THPs affects the light emission efficiency of the semiconductor will be presented. Then, efforts in materials engineering to design and master the electronic properties of THP films will be discussed. In particular, a facile yet highly effective strategy will be presented to master the defects activity in THPs by developing self-encapsulated tin-halide perovskite films. The resulting film exhibits a significantly reduced trap density and mitigated p-doping density such that it is exploited to boost radiative charge recombination to reach a photoluminescence quantum yield approaching 50%. Leveraging these advancements, NIR-LEDs demonstrate a peak external quantum efficiency > 16%, accompanied by a substantial improvement in operational lifetime."
1142,INS5-1043,,"Ionic liquids are widely used in soft electronics because of their high ionic conductivity, negligible volatility, thermal stability, and broad electrochemical windows. However, beyond serving as passive charge carriers, ionic liquids can function as molecular design elements that regulate polymer-ion interactions, mechanical dissipation, self-healing, interfacial charge transport, and electrochemical reactivity. In this talk, I will discuss how the rational selection of ionic liquids provides a versatile strategy for designing high-performance ionogels, soft electronic materials, and light-emitting devices. I will highlight three recent studies from our group that illustrate this concept across materials, sensing, and optoelectronic systems. First, we developed self-healing and hyperelastic magneto-iono-elastomers, in which magnetic ionic liquids act simultaneously as conductive media, magnetic functional components, and dynamic dissipative phases within an elastomeric network. This study shows that ionic liquids can introduce multifunctionality into soft materials beyond ionic conduction alone. Second, we demonstrated a self-healing magnetoelectric sensory system for underwater soft electronics, where a healable ionic matrix enables self-powered tactile sensing, proximity detection, damage sensing, and autonomous functional recovery in wet environments. This work highlights the importance of ionic-liquid-containing soft matrices for robust device operation under mechanically and environmentally demanding conditions. Third, we investigated ionic-liquid-regulated electrochemiluminescent devices, showing that ion identity can control interfacial charge-transfer dynamics, electrochemical stability, and light-emission efficiency. By coupling an optimized ionic liquid with an asymmetric device architecture, ultrabright electrochemiluminescence can be achieved at low voltage, enabling flexible multicolor devices, dynamic visual sensing, digital displays, and underwater solid-state light-emitting systems. In general, this ionic liquids as design tools approach provides a general framework for soft sensors, robotic skins, underwater electronics, self-healing systems, ionotronic devices, and light-emitting platforms."
1682,KES5-1545,,"Organic small molecules and polymers are essential functional materials in perovskite solar cells (PSCs), serving as hole transport materials (HTMs), additives, surface passivator, and interfacial modifiers. Representative HTMs include Spiro-OMeTAD, PTAA, P3HT, and self-assembled monolayer (SAM) molecules. In addition, Lewis base molecules and salt-type molecules have been widely employed as additives and surface passivators to regulate the crystallization process and suppress defect formation in perovskite films, thereby improving the optoelectronic properties of PSCs. Among them, alkyl or aromatic ammonium salt-based molecules have attracted considerable attention as effective interfacial modifiers because they induce the formation of 2D/3D heterostructures at the perovskite surface, leading to reduced interfacial defects, enhanced charge transport, and improved device stability. In this talk, recent advances in hole transport materials and dopant-additive systems for achieving efficient and stable perovskite solar cells will be discussed. Furthermore, interfacial engineering strategies for controlling the surface properties of perovskite films at the HTL/perovskite interface will be introduced. Particular emphasis will be placed on the formation and modulation of 2D/3D heterostructures using Ruddlesden–Popper (RP)-type and Dion–Jacobson (DJ)-type spacer molecules with diverse molecular architectures, and their effects on interfacial properties, charge transport, and overall photovoltaic performance."
